# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   24711   2   -4.180848    8.467558E-03    7.966517E-03    5.713572E+00    6.072917E+00
   24712   2   -4.179217    8.498091E-03    7.978117E-03    5.693043E+00    6.064088E+00
   24713   2   -4.176525    8.542936E-03    7.991288E-03    5.663158E+00    6.054093E+00
   24714   2   -4.172798    8.602029E-03    8.005868E-03    5.624255E+00    6.043067E+00
   24715   2   -4.168074    8.675632E-03    8.022016E-03    5.576539E+00    6.030903E+00
   24716   2   -4.162396    8.764365E-03    8.040196E-03    5.520080E+00    6.017266E+00
   24717   2   -4.155816    8.869196E-03    8.061149E-03    5.454835E+00    6.001626E+00
   24718   2   -4.148392    8.991516E-03    8.085939E-03    5.380628E+00    5.983226E+00
   24719   2   -4.140182    9.132788E-03    8.115623E-03    5.297396E+00    5.961341E+00
   24720   2   -4.131251    9.286554E-03    8.144761E-03    5.209683E+00    5.940015E+00
   24721   2   -4.121663    9.321885E-03    8.066316E-03    5.189937E+00    5.997781E+00
   24722   2   -4.111481    8.378019E-03    7.174246E-03    5.774635E+00    6.743566E+00
   24723   2   -4.100767    5.071966E-03    4.327027E-03    9.538708E+00    1.118089E+01
   24996   2   -4.103684    6.318030E-03    5.327071E-03    7.657450E+00    9.081914E+00
   24997   2   -4.114794    9.036718E-03    7.725289E-03    5.353714E+00    6.262549E+00
   24998   2   -4.125399    9.451469E-03    8.197936E-03    5.118781E+00    5.901486E+00
   24999   2   -4.135436    9.278739E-03    8.160356E-03    5.214071E+00    5.928663E+00
   25000   2   -4.144838    9.080653E-03    8.088325E-03    5.327811E+00    5.981461E+00
   25001   2   -4.153539    8.908084E-03    8.026505E-03    5.431022E+00    6.027530E+00
   25002   2   -4.161474    8.761333E-03    7.976049E-03    5.521991E+00    6.065660E+00
   25003   2   -4.168577    8.638785E-03    7.936313E-03    5.600325E+00    6.096030E+00
   25004   2   -4.174790    8.538808E-03    7.906488E-03    5.665896E+00    6.119026E+00
   25005   2   -4.180058    8.459805E-03    7.885617E-03    5.718808E+00    6.135221E+00
   25006   2   -4.184332    8.400292E-03    7.872652E-03    5.759323E+00    6.145325E+00
   25007   2   -4.187571    8.358908E-03    7.866452E-03    5.787837E+00    6.150168E+00
   25008   2   -4.189746    8.334448E-03    7.865840E-03    5.804823E+00    6.150646E+00
   25009   2   -4.190834    8.325889E-03    7.869672E-03    5.810791E+00    6.147652E+00
   25010   2   -4.190826    8.332404E-03    7.876910E-03    5.806248E+00    6.142002E+00
   25011   2   -4.189723    8.353380E-03    7.886712E-03    5.791668E+00    6.134368E+00
   25012   2   -4.187536    8.388432E-03    7.898489E-03    5.767466E+00    6.125222E+00
   25013   2   -4.184288    8.437429E-03    7.911936E-03    5.733974E+00    6.114812E+00
   25014   2   -4.180011    8.500512E-03    7.927049E-03    5.691422E+00    6.103154E+00
   25015   2   -4.174746    8.578126E-03    7.944112E-03    5.639927E+00    6.090045E+00
   25016   2   -4.168542    8.671028E-03    7.963687E-03    5.579500E+00    6.075075E+00
   25017   2   -4.161454    8.780343E-03    7.986631E-03    5.510036E+00    6.057623E+00
   25018   2   -4.153541    8.907529E-03    8.014044E-03    5.431361E+00    6.036902E+00
   25019   2   -4.144866    9.054382E-03    8.047262E-03    5.343269E+00    6.011983E+00
   25020   2   -4.135495    9.221174E-03    8.086323E-03    5.246621E+00    5.982942E+00
   25021   2   -4.125490    9.358757E-03    8.091247E-03    5.169490E+00    5.979301E+00
   25022   2   -4.114918    8.919033E-03    7.616219E-03    5.424355E+00    6.352234E+00
   25023   2   -4.103839    6.232386E-03    5.292384E-03    7.762678E+00    9.141438E+00
   25295   2   -4.106203    7.209463E-03    6.072648E-03    6.710625E+00    7.966871E+00
   25296   2   -4.117658    9.326757E-03    7.970895E-03    5.187226E+00    6.069582E+00
   25297   2   -4.128635    9.450504E-03    8.197573E-03    5.119304E+00    5.901747E+00
   25298   2   -4.139068    9.238450E-03    8.126447E-03    5.236809E+00    5.953401E+00
   25299   2   -4.148893    9.033785E-03    8.048979E-03    5.355452E+00    6.010700E+00
   25300   2   -4.158043    8.855643E-03    7.982666E-03    5.463183E+00    6.060632E+00
   25301   2   -4.166451    8.702863E-03    7.927460E-03    5.559090E+00    6.102838E+00
   25302   2   -4.174052    8.573769E-03    7.882753E-03    5.642792E+00    6.137449E+00
   25303   2   -4.180783    8.466732E-03    7.847843E-03    5.714129E+00    6.164752E+00
   25304   2   -4.186587    8.380196E-03    7.821927E-03    5.773134E+00    6.185176E+00
   25305   2   -4.191411    8.312708E-03    7.804108E-03    5.820005E+00    6.199299E+00
   25306   2   -4.195209    8.262964E-03    7.793413E-03    5.855042E+00    6.207806E+00
   25307   2   -4.197947    8.229822E-03    7.788813E-03    5.878621E+00    6.211473E+00
   25308   2   -4.199598    8.212322E-03    7.789261E-03    5.891147E+00    6.211116E+00
   25309   2   -4.200146    8.209696E-03    7.793757E-03    5.893032E+00    6.207532E+00
   25310   2   -4.199586    8.221367E-03    7.801428E-03    5.884666E+00    6.201429E+00
   25311   2   -4.197925    8.246962E-03    7.811596E-03    5.866402E+00    6.193356E+00
   25312   2   -4.195179    8.286318E-03    7.823836E-03    5.838540E+00    6.183668E+00
   25313   2   -4.191377    8.339500E-03    7.837995E-03    5.801307E+00    6.172497E+00
   25314   2   -4.186556    8.406822E-03    7.854193E-03    5.754850E+00    6.159767E+00
   25315   2   -4.180761    8.488867E-03    7.872817E-03    5.699230E+00    6.145196E+00
   25316   2   -4.174045    8.586517E-03    7.894521E-03    5.634415E+00    6.128301E+00
   25317   2   -4.166465    8.700962E-03    7.920206E-03    5.560305E+00    6.108427E+00
   25318   2   -4.158084    8.833725E-03    7.951030E-03    5.476738E+00    6.084746E+00
   25319   2   -4.148965    8.986679E-03    7.988389E-03    5.383524E+00    6.056290E+00
   25320   2   -4.139174    9.161536E-03    8.033486E-03    5.280774E+00    6.022292E+00
   25321   2   -4.128776    9.340703E-03    8.071965E-03    5.179482E+00    5.993584E+00
   25322   2   -4.117835    9.193892E-03    7.837041E-03    5.262189E+00    6.173248E+00
   25323   2   -4.106413    7.115370E-03    6.020784E-03    6.799365E+00    8.035498E+00
   25594   2   -4.108236    7.838576E-03    6.597830E-03    6.172039E+00    7.332714E+00
   25595   2   -4.120016    9.469949E-03    8.091960E-03    5.108792E+00    5.978774E+00
   25596   2   -4.131340    9.433706E-03    8.183515E-03    5.128420E+00    5.911885E+00
   25597   2   -4.142147    9.204753E-03    8.098139E-03    5.255980E+00    5.974212E+00
   25598   2   -4.152372    8.995111E-03    8.016643E-03    5.378477E+00    6.034945E+00
   25599   2   -4.161949    8.811866E-03    7.946220E-03    5.490324E+00    6.088429E+00
   25600   2   -4.170809    8.653466E-03    7.886540E-03    5.590823E+00    6.134502E+00
   25601   2   -4.178888    8.518238E-03    7.837070E-03    5.679578E+00    6.173225E+00
   25602   2   -4.186120    8.404537E-03    7.797184E-03    5.756414E+00    6.204804E+00
   25603   2   -4.192445    8.310819E-03    7.766194E-03    5.821328E+00    6.229564E+00
   25604   2   -4.197807    8.235667E-03    7.743351E-03    5.874448E+00    6.247941E+00
   25605   2   -4.202158    8.177821E-03    7.727849E-03    5.916001E+00    6.260475E+00
   25606   2   -4.205457    8.136194E-03    7.718815E-03    5.946269E+00    6.267801E+00
   25607   2   -4.207672    8.109889E-03    7.715345E-03    5.965556E+00    6.270620E+00
   25608   2   -4.208782    8.098236E-03    7.716557E-03    5.974141E+00    6.269636E+00
   25609   2   -4.208778    8.100770E-03    7.721645E-03    5.972271E+00    6.265504E+00
   25610   2   -4.207658    8.117161E-03    7.729889E-03    5.960212E+00    6.258822E+00
   25611   2   -4.205437    8.147208E-03    7.740722E-03    5.938231E+00    6.250063E+00
   25612   2   -4.202135    8.190919E-03    7.753841E-03    5.906541E+00    6.239488E+00
   25613   2   -4.197786    8.248533E-03    7.769231E-03    5.865286E+00    6.227129E+00
   25614   2   -4.192432    8.320508E-03    7.787125E-03    5.814549E+00    6.212820E+00
   25615   2   -4.186121    8.407536E-03    7.807995E-03    5.754362E+00    6.196213E+00
   25616   2   -4.178909    8.510565E-03    7.832547E-03    5.684699E+00    6.176790E+00
   25617   2   -4.170857    8.630831E-03    7.861725E-03    5.605486E+00    6.153865E+00
   25618   2   -4.162028    8.769877E-03    7.896710E-03    5.516611E+00    6.126602E+00
   25619   2   -4.152487    8.929538E-03    7.938871E-03    5.417974E+00    6.094065E+00
   25620   2   -4.142300    9.111837E-03    7.989668E-03    5.309577E+00    6.055320E+00
   25621   2   -4.131532    9.310904E-03    8.044183E-03    5.196058E+00    6.014284E+00
   25622   2   -4.120245    9.325867E-03    7.941022E-03    5.187721E+00    6.092415E+00
   25623   2   -4.108501    7.738728E-03    6.531450E-03    6.251674E+00    7.407238E+00
   25893   2   -4.109794    8.255992E-03    6.945490E-03    5.859986E+00    6.965671E+00
   25894   2   -4.121877    9.538228E-03    8.149412E-03    5.072221E+00    5.936625E+00
   25895   2   -4.133528    9.415250E-03    8.167884E-03    5.138472E+00    5.923199E+00
   25896   2   -4.144686    9.177593E-03    8.075361E-03    5.271534E+00    5.991064E+00
   25897   2   -4.155287    8.963603E-03    7.990423E-03    5.397383E+00    6.054748E+00
   25898   2   -4.165267    8.775674E-03    7.916263E-03    5.512967E+00    6.111470E+00
   25899   2   -4.174557    8.612102E-03    7.852466E-03    5.617676E+00    6.161122E+00
   25900   2   -4.183091    8.471172E-03    7.798524E-03    5.711134E+00    6.203738E+00
   25901   2   -4.190804    8.351231E-03    7.753875E-03    5.793158E+00    6.239461E+00
   25902   2   -4.197632    8.250727E-03    7.717915E-03    5.863725E+00    6.268533E+00
   25903   2   -4.203519    8.168256E-03    7.690005E-03    5.922929E+00    6.291283E+00
   25904   2   -4.208411    8.102530E-03    7.669426E-03    5.970974E+00    6.308165E+00
   25905   2   -4.212263    8.052281E-03    7.655254E-03    6.008235E+00    6.319843E+00
   25906   2   -4.215040    8.016413E-03    7.646495E-03    6.035119E+00    6.327082E+00
   25907   2   -4.216715    7.994616E-03    7.642689E-03    6.051573E+00    6.330233E+00
   25908   2   -4.217273    7.987481E-03    7.644046E-03    6.056978E+00    6.329109E+00
   25909   2   -4.216708    7.995358E-03    7.650437E-03    6.051011E+00    6.323822E+00
   25910   2   -4.215026    8.017523E-03    7.660687E-03    6.034283E+00    6.315361E+00
   25911   2   -4.212247    8.053000E-03    7.673444E-03    6.007699E+00    6.304861E+00
   25912   2   -4.208395    8.101683E-03    7.688277E-03    5.971599E+00    6.292697E+00
   25913   2   -4.203510    8.164214E-03    7.705542E-03    5.925861E+00    6.278598E+00
   25914   2   -4.197637    8.241382E-03    7.725780E-03    5.870374E+00    6.262151E+00
   25915   2   -4.190827    8.334006E-03    7.749581E-03    5.805131E+00    6.242918E+00
   25916   2   -4.183140    8.443073E-03    7.777692E-03    5.730141E+00    6.220354E+00
   25917   2   -4.174637    8.569824E-03    7.811071E-03    5.645390E+00    6.193773E+00
   25918   2   -4.165382    8.715764E-03    7.850876E-03    5.550861E+00    6.162370E+00
   25919   2   -4.155443    8.882685E-03    7.898451E-03    5.446552E+00    6.125252E+00
   25920   2   -4.144883    9.072634E-03    7.955278E-03    5.332520E+00    6.081497E+00
   25921   2   -4.133767    9.284136E-03    8.019947E-03    5.211039E+00    6.032459E+00
   25922   2   -4.122158    9.388297E-03    7.989262E-03    5.153224E+00    6.055628E+00
   25923   2   -4.110113    8.155118E-03    6.870948E-03    5.932471E+00    7.041241E+00
   26192   2   -4.110886    8.513530E-03    7.159163E-03    5.682719E+00    6.757773E+00
   26193   2   -4.123253    9.569744E-03    8.175508E-03    5.055517E+00    5.917675E+00
   26194   2   -4.135209    9.399533E-03    8.154406E-03    5.147064E+00    5.932989E+00
   26195   2   -4.146695    9.156328E-03    8.057512E-03    5.283777E+00    6.004334E+00
   26196   2   -4.157649    8.938395E-03    7.969534E-03    5.412605E+00    6.070618E+00
   26197   2   -4.168008    8.746172E-03    7.892004E-03    5.531563E+00    6.130256E+00
   26198   2   -4.177703    8.577861E-03    7.824467E-03    5.640100E+00    6.183168E+00
   26199   2   -4.186670    8.431688E-03    7.766414E-03    5.737878E+00    6.229387E+00
   26200   2   -4.194841    8.305958E-03    7.717306E-03    5.824734E+00    6.269027E+00
   26201   2   -4.202153    8.199102E-03    7.676592E-03    5.900646E+00    6.302276E+00
   26202   2   -4.208545    8.109631E-03    7.643639E-03    5.965746E+00    6.329446E+00
   26203   2   -4.213963    8.035627E-03    7.617218E-03    6.020688E+00    6.351400E+00
   26204   2   -4.218358    7.973660E-03    7.594436E-03    6.067477E+00    6.370453E+00
   26205   2   -4.221690    7.919842E-03    7.571733E-03    6.108708E+00    6.389554E+00
   26206   2   -4.223928    7.875071E-03    7.549916E-03    6.143437E+00    6.408018E+00
   26207   2   -4.225050    7.847509E-03    7.536555E-03    6.165013E+00    6.419378E+00
   26208   2   -4.225047    7.845727E-03    7.539416E-03    6.166414E+00    6.416943E+00
   26209   2   -4.223919    7.869648E-03    7.557824E-03    6.147670E+00    6.401313E+00
   26210   2   -4.221677    7.910589E-03    7.582856E-03    6.115853E+00    6.380182E+00
   26211   2   -4.218346    7.960303E-03    7.606165E-03    6.077658E+00    6.360630E+00
   26212   2   -4.213956    8.017723E-03    7.626442E-03    6.034132E+00    6.343718E+00
   26213   2   -4.208549    8.086432E-03    7.646886E-03    5.982861E+00    6.326759E+00
   26214   2   -4.202174    8.169468E-03    7.670193E-03    5.922050E+00    6.307534E+00
   26215   2   -4.194885    8.268321E-03    7.697598E-03    5.851248E+00    6.285077E+00
   26216   2   -4.186744    8.384055E-03    7.729937E-03    5.770477E+00    6.258783E+00
   26217   2   -4.177813    8.517874E-03    7.768150E-03    5.679821E+00    6.227995E+00
   26218   2   -4.168158    8.671227E-03    7.813359E-03    5.579372E+00    6.191960E+00
   26219   2   -4.157843    8.845835E-03    7.866856E-03    5.469241E+00    6.149852E+00
   26220   2   -4.146934    9.043676E-03    7.930064E-03    5.349595E+00    6.100833E+00
   26221   2   -4.135494    9.264966E-03    8.002910E-03    5.221821E+00    6.045301E+00
   26222   2   -4.123582    9.419610E-03    8.013391E-03    5.136094E+00    6.037394E+00
   26223   2   -4.111257    8.417738E-03    7.084807E-03    5.747387E+00    6.828697E+00
   26491   2   -4.111520    8.650048E-03    7.271380E-03    5.593033E+00    6.653483E+00
   26492   2   -4.124152    9.583447E-03    8.186250E-03    5.048288E+00    5.909910E+00
   26493   2   -4.136392    9.387779E-03    8.144084E-03    5.153508E+00    5.940509E+00
   26494   2   -4.148185    9.140358E-03    8.044024E-03    5.293010E+00    6.014403E+00
   26495   2   -4.159469    8.918798E-03    7.953326E-03    5.424498E+00    6.082989E+00
   26496   2   -4.170182    8.722642E-03    7.872776E-03    5.546485E+00    6.145227E+00
   26497   2   -4.180259    8.550007E-03    7.801878E-03    5.658475E+00    6.201071E+00
   26498   2   -4.189633    8.399044E-03    7.740099E-03    5.760179E+00    6.250566E+00
   26499   2   -4.198239    8.268000E-03    7.686900E-03    5.851476E+00    6.293824E+00
   26500   2   -4.206011    8.155238E-03    7.641727E-03    5.932383E+00    6.331030E+00
   26501   2   -4.212889    8.058768E-03    7.603530E-03    6.003399E+00    6.362834E+00
   26502   2   -4.218815    7.973182E-03    7.567795E-03    6.067841E+00    6.392880E+00
   26503   2   -4.223738    7.884169E-03    7.521223E-03    6.136347E+00    6.432464E+00
   26504   2   -4.227613    7.774516E-03    7.447480E-03    6.222896E+00    6.496157E+00
   26505   2   -4.230407    7.648056E-03    7.350286E-03    6.325791E+00    6.582057E+00
